instrument,avg_score,pos_ratio,real_label,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SZ002028,0.1705516603531293,1.0,,2026-05-26,-0.04327681,0.04717075,-0.9174501,0.0,0.0,0.0038939414,0.082549915,-0.039382868,-0.83490014,1.0452344,1.0452344,0.9959299,1.0078382,1.0045868,1.0218959,1.1539936,1.0442059,1.1535314,1.0290786,1.023329,1.0325328,1.0551356,1.0782974,0.023530405,0.029988041,0.03784306,0.049119417,0.053999074,-0.009201627,-0.0015368019,-0.0024987676,-0.0033623537,-0.0021236115,0.3823054,0.024074152,0.15259747,0.3631467,0.4717125,-0.010675378,-0.016413366,-0.008794578,-0.0063815075,-0.015650814,1.0798565,1.0878928,1.1674402,1.1967036,1.2319442,0.9950555,0.9639382,0.9639382,0.9639382,0.9639382,1.0497081,1.0497081,1.0620111,1.1036388,1.1305842,1.0125297,0.99842393,1.0046271,1.0096756,1.030006,0.2,0.3,0.15,0.1,0.05,0.058307208,0.29092765,0.17720626,0.15492788,0.13455608,0.4,0.2,0.05,0.33333334,0.11666667,0.2,0.4,0.7,0.8,0.9,0.2,-0.2,-0.65,-0.46666667,-0.78333336,0.5367265,0.14489678,-0.0023787832,-0.00783117,-0.13497026,0.76090616,0.28550863,-0.046961915,-0.017213752,-0.18796577,0.4,0.5,0.45,0.53333336,0.46666667,0.6,0.5,0.55,0.46666667,0.53333336,-0.2,0.0,-0.1,0.06666667,-0.06666667,0.48688856,0.46730343,0.37708816,0.4747312,0.45259553,0.5131115,0.5326966,0.6229119,0.5252688,0.54740447,-0.02622291,-0.06539317,-0.24582371,-0.050537586,-0.09480894,0.994408,1.0082637,1.0681671,1.054727,0.93919206,0.35532296,0.30799448,0.3759177,0.32620695,0.29766756,0.7626268,0.81499076,1.016862,0.99274755,1.0021275,0.56988484,0.5139311,0.49388638,0.51039886,0.51187694,0.4301152,0.48606893,0.50611365,0.48960114,0.48812303,0.13976963,0.027862152,-0.012227265,0.020797754,0.023753913
SZ301236,0.1268840375120634,1.0,,2026-05-26,-0.017628962,0.06412871,-0.2748997,0.03219214,0.50199264,0.014307609,0.2231077,-0.035513494,-0.5537846,1.0179453,1.0507152,0.98543566,1.0132728,1.0675584,1.0771934,1.1065518,1.0012469,1.2170709,1.011834,1.0317615,1.0524257,1.0504005,1.0781153,0.020094281,0.030637648,0.039936066,0.038908113,0.091099605,-0.004624797,-0.0069317063,-0.0037771238,-0.00043376742,-0.0029522544,0.13242818,0.46922478,0.31308332,0.009632415,0.3203129,-0.0025844397,-0.0005688089,-0.016543046,-0.04411086,0.008976218,1.0704416,1.0995109,1.1562614,1.159638,1.3159575,0.9851818,0.9851818,0.9851818,0.9851818,0.9482506,1.0281342,1.0490592,1.0868737,1.0868737,1.1784629,0.998277,1.0020857,1.0256177,1.0226026,1.0023804,0.4,0.2,0.1,0.06666667,0.16666667,0.17380068,0.12961017,0.08661587,0.08493941,0.14073542,0.2,0.1,0.05,0.3,0.033333335,0.6,0.8,0.9,0.93333334,0.45,-0.4,-0.7,-0.85,-0.6333333,-0.41666666,-0.33193198,-0.22659387,0.46692505,0.64306027,0.42005473,-0.10649674,-0.3854405,0.28657478,0.54854524,0.4379583,0.4,0.6,0.55,0.6,0.5,0.6,0.4,0.4,0.36666667,0.48333332,-0.2,0.2,0.15,0.23333333,0.016666668,0.25,0.34613648,0.39866322,0.4991453,0.42985862,0.75,0.65386355,0.6013368,0.50085473,0.5701414,-0.5,-0.30772707,-0.20267357,-0.001709419,-0.14028275,0.8756237,0.90258586,0.9803839,0.9288532,0.8466879,0.14285022,0.14017735,0.27790585,0.3715603,0.3597646,0.5961979,0.81821185,1.0337965,1.3380582,1.2393562,0.4859232,0.56276894,0.47636282,0.52667964,0.51643294,0.51407677,0.43723103,0.5236372,0.47332036,0.48356703,-0.02815359,0.12553792,-0.047274362,0.053359255,0.03286593
SZ300033,0.1262407789488838,0.875,,2026-05-26,0.04271549,0.06172412,0.6920389,0.017629292,0.2856143,0.0013793376,0.022346819,0.026465535,0.42877138,0.9590344,1.0169071,0.9577115,0.9945573,0.9428303,1.0413795,0.97561157,0.89458853,0.97540003,0.9644588,0.9681588,0.98058695,0.9834621,0.9464044,0.026690323,0.032125406,0.03793079,0.033895776,0.049737204,0.011781116,-0.0024390277,-0.00058125454,-0.00035614835,0.0014767777,0.48708546,0.052838158,0.008218962,0.008556032,0.2688855,0.011978918,0.04281683,0.02493498,0.021702034,0.010030638,1.0577927,1.0577927,1.0665139,1.0665139,1.0665139,0.92596465,0.91542345,0.91542345,0.9105458,0.8469091,0.98111886,0.9837643,1.0184301,1.0178105,0.99055886,0.9379277,0.9415909,0.94428617,0.9467175,0.9046525,1.0,0.9,0.7,0.7,0.85,0.5616054,0.5940648,0.5597743,0.5735414,0.69711995,0.4,0.7,0.45,0.6333333,0.81666666,0.2,0.5,0.75,0.033333335,0.46666667,0.2,0.2,-0.3,0.6,0.35,0.4831835,0.26886132,0.38024956,0.16098927,0.5986751,0.60910755,0.48408926,0.5555419,0.45109108,0.50966233,0.6,0.4,0.55,0.6,0.53333336,0.4,0.6,0.45,0.4,0.46666667,0.2,-0.2,0.1,0.2,0.06666667,0.69841504,0.4149532,0.5290974,0.58221567,0.5106162,0.30158496,0.58504677,0.47090262,0.41778436,0.48938382,0.3968301,-0.1700936,0.05819477,0.1644313,0.02123239,1.0112567,0.85818046,0.80866975,0.7662487,0.6216246,0.489018,0.3684437,0.31411418,0.27918532,0.2673878,0.72275877,0.9307526,1.050477,1.01477,1.1934751,0.5778714,0.53994507,0.5054018,0.5319719,0.5227043,0.42212862,0.46005496,0.4945982,0.46802813,0.4772957,0.1557428,0.07989008,0.010803595,0.063943736,0.04540858
SZ300394,0.12271721639046848,0.875,,2026-05-26,0.019448567,0.042606525,0.4564692,0.008120344,0.1905892,0.015037615,0.35294157,0.026365837,0.61882156,0.98092246,1.0079654,0.96617174,0.9876703,0.8924181,0.841899,0.8606804,0.85283834,0.8395872,0.9205481,0.93183726,0.86166596,0.8673483,0.83227247,0.06921794,0.05295886,0.08281286,0.07064019,0.06947888,0.03812532,8.487229e-05,0.011259899,0.0027277065,0.0018702197,0.7584547,2.3543229e-05,0.64705527,0.115556195,0.22099352,0.0032012658,0.0677808,0.031365026,0.093099944,0.112556025,1.0079654,1.0179965,1.0179965,1.0179965,1.0179965,0.82599074,0.82599074,0.7498286,0.7498286,0.68140954,0.9803127,0.9769841,0.94984764,0.9302991,0.89049137,0.87185216,0.8904468,0.78924257,0.8009981,0.77521896,1.0,1.0,1.0,1.0,1.0,0.95622784,0.9062708,0.9328908,0.9328908,0.94653225,1.0,0.3,0.65,0.76666665,0.8833333,0.4,0.7,0.35,0.56666666,0.23333333,0.6,-0.4,0.3,0.2,0.65,0.53752583,0.4910372,0.65986997,0.6075238,0.59821445,0.5659921,0.6543132,0.39942452,0.2659278,0.20539358,0.6,0.6,0.55,0.5,0.5,0.4,0.4,0.45,0.5,0.5,0.2,0.2,0.1,0.0,0.0,0.7294946,0.66935086,0.6035361,0.56856084,0.53967327,0.27050543,0.33064917,0.39646384,0.4314392,0.4603267,0.4589891,0.3387017,0.20707232,0.13712163,0.07934657,1.0168571,1.1790475,1.0329258,1.0196949,0.89433295,0.14383763,0.22907118,0.28417554,0.24201284,0.24583764,0.7945677,0.73110265,0.9270497,0.8086298,0.85150725,0.40530306,0.47921398,0.47694436,0.49753758,0.514255,0.59469694,0.520786,0.5230557,0.50246245,0.48574498,-0.18939386,-0.04157202,-0.0461113,-0.0049248347,0.028510023
SZ000786,0.12161448809285966,1.0,,2026-05-26,-0.03227157,0.039815623,-0.8105253,0.004610224,0.11578933,0.0029338284,0.073685355,-0.033947967,-0.8526293,1.0333477,1.0381117,0.9969683,1.0090244,1.0705831,1.1641129,1.077518,1.1199622,1.2420666,1.0351609,1.0658158,1.0952636,1.0982668,1.1248251,0.027834352,0.04239386,0.04750684,0.039133888,0.05400368,-0.015721448,-0.013404321,-0.004903215,-0.0019300285,-0.0021634572,0.7975591,0.9164212,0.37283581,0.18850516,0.48949677,-0.003717953,-0.005496402,-0.04868305,-0.07028147,-0.061003122,1.0822846,1.163681,1.1719084,1.1719084,1.2914491,0.9969683,0.9969683,0.9969683,0.9969683,0.9969683,1.0433011,1.0993174,1.1421175,1.1330115,1.1508824,1.0239053,1.032641,1.059589,1.0740396,1.0873865,0.2,0.1,0.05,0.033333335,0.016666668,0.035534456,0.018184967,0.017329736,0.017329736,0.010294951,0.2,0.1,0.5,0.6666667,0.06666667,1.0,1.0,1.0,1.0,1.0,-0.8,-0.9,-0.5,-0.33333334,-0.93333334,0.20408823,0.17750928,0.3139159,0.28338677,0.44999167,-0.11042625,-0.03897484,0.16519077,0.12257021,0.21450227,0.4,0.3,0.5,0.43333334,0.41666666,0.6,0.7,0.5,0.56666666,0.5833333,-0.2,-0.4,0.0,-0.13333334,-0.16666667,0.11732291,0.079769276,0.38797352,0.35341612,0.37735918,0.8826771,0.92023075,0.6120265,0.6465839,0.62264085,-0.76535416,-0.84046143,-0.22405297,-0.2931678,-0.24528165,0.805592,0.78145564,0.8295236,0.8343125,0.8896992,0.3071104,0.22127724,0.23859257,0.22055471,0.29944095,1.0775721,0.8631237,0.9814297,1.1237109,1.2547247,0.57471544,0.49831906,0.51908106,0.50256526,0.4772212,0.4252846,0.5016809,0.48091894,0.4974347,0.5227788,0.14943083,-0.0033618587,0.03816214,0.005130585,-0.045557633
SZ000596,0.11994296141262775,1.0,,2026-05-26,-0.008551605,0.035275266,-0.24242496,0.020844506,0.59090996,0.0058791544,0.16666506,-0.023516957,-0.66666985,1.0086254,1.0296496,0.9940701,1.0097353,1.0350461,1.1055387,1.184471,1.1083424,1.3284031,1.0126281,1.034677,1.0927892,1.108206,1.1475067,0.017102659,0.03017627,0.06483968,0.058029316,0.0678006,-0.008711455,-0.009241066,-0.010464431,-0.004995417,-0.0032265824,0.6486258,0.85965544,0.9116277,0.57431513,0.690746,0.004794857,0.0069077536,0.0066229566,-0.03577252,-0.05232258,1.0583239,1.1158974,1.2042996,1.2042996,1.3260379,0.9820888,0.9820888,0.9820888,0.9820888,0.9820888,1.0264748,1.0560967,1.1506723,1.1497455,1.1981691,0.9989186,1.0068891,1.0328661,1.0361333,1.1085255,0.4,0.2,0.1,0.06666667,0.033333335,0.23494712,0.13385683,0.08060454,0.08060454,0.052075144,0.4,0.2,0.05,0.36666667,0.016666668,0.8,0.9,0.95,0.96666664,0.98333335,-0.4,-0.7,-0.9,-0.6,-0.96666664,-0.7954488,0.4060161,-0.1330405,-0.09733842,0.009111174,-0.5588205,-0.042305227,0.30862617,0.5071992,0.2675138,0.4,0.3,0.3,0.4,0.43333334,0.6,0.7,0.7,0.6,0.56666666,-0.2,-0.4,-0.4,-0.2,-0.13333334,0.22862162,0.19466949,0.24594167,0.3910466,0.3614952,0.7713784,0.8053305,0.7540583,0.6089534,0.6385048,-0.5427568,-0.61066103,-0.50811666,-0.21790677,-0.27700964,1.0482951,1.1128634,1.0498626,0.9950335,1.0126121,0.20422871,0.26387465,0.26096174,0.3599881,0.34016553,0.92032975,0.8092164,0.7700191,1.185835,1.007576,0.61374223,0.43396896,0.3879601,0.4695799,0.4994618,0.38625777,0.56603104,0.6120399,0.5304201,0.5005382,0.22748446,-0.1320621,-0.22407979,-0.06084022,-0.0010763765
SH688169,0.10728559402223696,1.0,,2026-05-26,-0.02502403,0.052926116,-0.47281063,0.022625512,0.42749238,0.005276575,0.09969701,-0.042372968,-0.800606,1.0256664,1.0488725,0.994588,1.0179107,1.0479683,0.94397885,0.9687538,0.93479604,1.235815,1.0369242,1.0225811,0.99309856,0.9771574,1.011535,0.025714232,0.036249828,0.04055448,0.04242854,0.06577035,-0.014503483,0.0053359894,0.0052326517,0.0038429196,-0.0021639066,0.795312,0.19862294,0.58268523,0.6357818,0.33015397,-0.007917327,-0.046593014,-0.042808738,-0.03287973,0.05230024,1.1027445,1.1027445,1.1027445,1.1027445,1.2413183,0.994588,0.9340591,0.9298802,0.9020017,0.9020017,1.0547968,1.0519742,1.041526,1.0062327,1.0690908,1.0205268,0.9967994,0.9566622,0.94601667,0.9538231,0.2,0.3,0.65,0.76666665,0.51666665,0.05003867,0.3909107,0.40563512,0.48817858,0.2888108,0.4,0.7,0.85,0.9,0.016666668,1.0,0.1,0.05,0.16666667,0.5833333,-0.6,0.6,0.8,0.73333335,-0.56666666,0.72708,0.50821525,0.70473963,0.70869404,-0.17988439,0.37741238,0.6884806,0.57801026,0.5246048,0.1895586,0.4,0.5,0.5,0.5,0.41666666,0.6,0.5,0.5,0.5,0.5833333,-0.2,0.0,0.0,0.0,-0.16666667,0.2237995,0.60759085,0.5360957,0.55324787,0.39730534,0.77620053,0.39240915,0.4639043,0.44675213,0.6026947,-0.552401,0.21518174,0.072191395,0.106495716,-0.20538934,1.1257908,1.270782,1.0510807,0.9505586,0.6723143,0.23231138,0.34360605,0.34609333,0.37093198,0.39451286,0.56944805,0.8732585,0.9611001,1.1737179,1.3854907,0.3373704,0.50630975,0.47079107,0.5273832,0.52986985,0.6626296,0.49369028,0.52920896,0.4726168,0.47013012,-0.3252592,0.012619449,-0.05841786,0.054766428,0.05973975
SZ003816,0.10275916342039568,1.0,,2026-05-26,0.017660059,0.03311257,0.53333396,0.011037497,0.3333325,0.0044150148,0.13333349,0.011037578,0.33333495,0.9826464,1.0108459,0.978308,0.9995481,1.0613382,1.035316,1.0111524,0.9851301,0.84758365,0.98178434,1.0130111,1.0114312,0.9996902,0.9673172,0.01851288,0.035914194,0.02729292,0.029788135,0.051431496,0.004460972,-0.008516389,-0.00044022707,0.0016040121,0.0024087129,0.14516135,0.51545435,0.009105871,0.22471412,0.66897774,0.009293698,0.025312629,-0.00724904,-0.022948358,-0.038374234,1.0660744,1.0721904,1.0721904,1.0721904,1.0721904,0.9476456,0.9476456,0.9476456,0.94482267,0.8469577,0.995539,1.0423791,1.0356877,1.0334572,1.007435,0.9672862,0.9851301,0.99330854,0.96988845,0.9096654,1.0,0.5,0.4,0.53333336,0.7416667,0.44207495,0.42036596,0.42036596,0.43321285,0.6794853,0.2,0.5,0.75,0.8333333,0.9166667,0.8,0.9,0.95,0.13333334,0.016666668,-0.6,-0.4,-0.2,0.7,0.9,-0.4157063,-0.18181908,-0.22916321,-0.050413553,-0.34945944,-0.8120955,-0.678659,-0.52416885,-0.32137012,-0.05476087,0.6,0.7,0.7,0.6333333,0.6166667,0.4,0.3,0.3,0.36666667,0.36666667,0.2,0.4,0.4,0.26666668,0.25,0.29629654,0.4144145,0.4827587,0.5176991,0.59855765,0.70370346,0.5855855,0.5172413,0.48230088,0.40144232,-0.4074069,-0.171171,-0.034482606,0.03539827,0.19711533,1.361193,1.3307719,1.3111184,1.2883611,1.7057383,0.4182685,0.29463145,0.28748265,0.2758674,0.6862568,0.9676119,1.1569825,1.2428976,1.2385135,1.1925569,0.42031902,0.40011048,0.4877677,0.48245034,0.493623,0.579681,0.5998895,0.5122323,0.5175497,0.50637704,-0.15936196,-0.19977903,-0.024464583,-0.035099335,-0.012754053
SZ002241,0.09851549197526419,0.75,,2026-05-26,0.07905139,0.10513835,0.75187975,0.007905218,0.07518872,0.018181736,0.17293154,0.08932791,0.84962255,0.92673993,1.0073261,0.9098902,0.9483964,0.94211644,0.9252656,0.8904773,0.8677646,0.9772874,0.94043285,0.9402875,0.92774117,0.91678303,0.900978,0.03466928,0.02459424,0.024512943,0.025907243,0.04536865,0.018281862,0.0021003126,0.0027176782,0.0023118218,0.0004021123,0.69517034,0.066851705,0.43020278,0.6171178,0.02395978,0.023003416,0.050261125,0.046440884,0.049695555,0.087159656,1.0073261,1.0073261,1.0073261,1.0073261,1.0073261,0.8901012,0.8901012,0.87252265,0.87252265,0.80035836,0.9490037,0.9478374,0.94218993,0.93450373,0.92922956,0.91764367,0.9260033,0.91178495,0.89310664,0.86146194,1.0,1.0,1.0,1.0,1.0,0.93750405,0.93750405,0.9456536,0.9456536,0.96460277,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.2,0.46666667,0.38333333,0.4,0.2,0.8,0.53333336,0.6166667,0.5054398,0.4893174,0.6149353,0.7409231,0.52105284,0.50644743,0.617864,0.660774,0.662178,0.3962532,0.4,0.4,0.55,0.53333336,0.5,0.6,0.5,0.4,0.43333334,0.48333332,-0.2,-0.1,0.15,0.1,0.016666668,0.7408916,0.68413913,0.66232646,0.643837,0.5122357,0.2591084,0.3158609,0.33767352,0.356163,0.4877643,0.48178318,0.3682782,0.32465297,0.287674,0.02447141,0.73170024,0.7319683,0.64455557,0.57184887,0.46531773,0.23106769,0.17360137,0.16599803,0.18097883,0.18234305,1.3107717,1.1966215,1.2187307,1.2531818,1.2338479,0.65441823,0.6146203,0.5774204,0.5557145,0.5432264,0.34558177,0.38537967,0.42257962,0.4442855,0.45677358,0.30883646,0.22924063,0.15484078,0.11142897,0.08645283
SH601899,0.09685411822180406,0.75,,2026-05-26,0.05584087,0.062901154,0.8877559,0.0025673322,0.040815342,0.0044929534,0.07142879,0.05776649,0.9183693,0.94711244,1.0024315,0.9428571,0.98089033,0.947214,1.0511101,1.045664,1.0304426,1.2045803,0.94587344,0.96682024,1.0010264,1.0195084,1.041847,0.034155287,0.044348773,0.048144136,0.048533197,0.07084359,0.01938277,-0.007391888,-0.005636734,-0.0039832923,-0.0025792278,0.805111,0.254659,0.47977358,0.5220453,0.40427613,0.015360999,0.06644325,0.05252262,0.03824933,0.034240223,1.0024315,1.0714171,1.0739075,1.0942975,1.2431637,0.9082416,0.9082416,0.9082416,0.9082416,0.905771,0.9623516,1.0037705,1.0437927,1.057813,1.0845971,0.92132384,0.93760645,0.9505656,0.9648931,0.984639,1.0,0.8,0.4,0.26666668,0.28333333,0.9741846,0.5623296,0.5538762,0.49317658,0.27928573,1.0,0.1,0.5,0.13333334,0.05,0.6,0.8,0.9,0.93333334,0.3,0.4,-0.7,-0.4,-0.8,-0.25,0.7659049,0.27609247,0.2053973,0.05577554,-0.07390868,-0.10274421,-0.049327236,0.22522724,0.28993347,0.12660138,0.6,0.4,0.45,0.46666667,0.43333334,0.4,0.6,0.55,0.53333336,0.56666666,0.2,-0.2,-0.1,-0.06666667,-0.13333334,0.7128382,0.39015615,0.4442551,0.47234908,0.42105836,0.28716183,0.60984385,0.5557449,0.5276509,0.57894164,0.42567635,-0.21968769,-0.11148975,-0.055301834,-0.1578833,0.72384036,0.70386755,0.6896113,0.66220695,0.66848946,0.1590156,0.18087943,0.16538453,0.16321743,0.21019763,0.81568545,0.93497103,0.9059688,0.9708695,1.0802023,0.86958605,0.5143389,0.52695376,0.55306745,0.5149719,0.13041396,0.4856611,0.47304627,0.44693255,0.48502806,0.73917204,0.028677821,0.05390748,0.10613489,0.029943863
