instrument,avg_score,pos_ratio,real_label,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SH600999,0.148886058182663,1.0,,2026-05-29,-0.0064327265,0.029824536,-0.21568571,0.021052608,0.70588213,0.0023392024,0.07843214,-0.025146132,-0.8431357,1.0064744,1.0276632,0.9976457,1.0082258,1.0205991,0.929374,0.9205457,0.9371321,0.9695024,1.0270733,1.012199,0.9761369,0.956697,0.9419743,0.023369892,0.029791461,0.04306085,0.045058697,0.03747325,-0.01054039,0.005389371,0.006305894,0.004362377,0.0011466984,0.5085574,0.29998806,0.75057864,0.72642505,0.28559825,-0.0059925076,-0.036451183,-0.036042944,-0.019951427,0.024198106,1.0800445,1.0800445,1.0800445,1.0800445,1.0800445,0.9976457,0.94296306,0.91535455,0.897698,0.8787052,1.0480471,1.0333868,1.0216693,1.0040663,0.9519529,1.0051365,0.9968432,0.94034237,0.9204387,0.9151953,0.2,0.3,0.65,0.76666665,0.8833333,0.02857258,0.41608074,0.5139686,0.5610308,0.6024398,0.6,0.8,0.9,0.93333334,0.96666664,1.0,0.1,0.05,0.26666668,0.25,-0.4,0.7,0.85,0.6666667,0.71666664,0.2143743,0.12757513,0.72868866,0.7297393,0.70797414,0.0037290074,0.41066802,0.40968418,0.2722609,0.17724435,0.4,0.6,0.6,0.5,0.48333332,0.6,0.4,0.4,0.46666667,0.48333332,-0.2,0.2,0.2,0.033333335,0.0,0.37620634,0.6907514,0.6507614,0.6005132,0.52519894,0.62379366,0.30924863,0.3492386,0.39948678,0.47480106,-0.24758734,0.38150272,0.3015228,0.20102644,0.05039788,1.1582099,1.3214452,0.97170013,0.7963481,0.59953135,0.19278233,0.4361243,0.48501942,0.479658,0.4083507,1.007999,0.75013936,1.1031132,1.3549601,1.4750371,0.41913188,0.55103046,0.51114964,0.5399715,0.5140205,0.5808681,0.44896957,0.48885036,0.4600285,0.48597953,-0.16173626,0.10206087,0.022299305,0.07994298,0.028040947
SH600570,0.1279535246796375,1.0,,2026-05-29,-0.026474154,0.036903307,-0.71739244,0.009626946,0.26086947,0.00080220617,0.021738056,-0.035298895,-0.9565239,1.0271941,1.0370828,0.99917597,1.0174215,1.0642772,1.0758147,1.0770451,1.1095983,1.1928314,1.0430137,1.0652221,1.0910361,1.0913863,1.0928769,0.032598544,0.033932257,0.039635606,0.0325081,0.037135076,-0.020354876,-0.010390599,-0.00518877,-0.0016418903,-0.0006543225,0.97472143,0.85954195,0.5998269,0.19770002,0.09469236,-0.0023038893,-0.018464508,-0.041742716,-0.06757889,-0.07357443,1.086529,1.1326725,1.1569835,1.1569835,1.2047789,0.98886967,0.98886967,0.98886967,0.98886967,0.98886967,1.0725139,1.0899042,1.1286364,1.112068,1.1294583,1.0181248,1.0394685,1.0698764,1.076799,1.0613079,0.2,0.1,0.05,0.033333335,0.016666668,0.11397126,0.07740007,0.066207275,0.066207275,0.0515511,0.2,0.4,0.3,0.53333336,0.016666668,0.8,0.9,0.95,0.96666664,0.98333335,-0.6,-0.5,-0.65,-0.43333334,-0.96666664,-0.52996147,-0.48678112,0.11427207,0.0853783,0.25512114,-0.18055677,-0.1205066,0.22424738,0.2988683,0.26364377,0.2,0.3,0.4,0.4,0.45,0.8,0.7,0.55,0.56666666,0.53333336,-0.6,-0.4,-0.15,-0.16666667,-0.083333336,0.14547068,0.27338585,0.38059315,0.3773057,0.40217116,0.8545293,0.7266142,0.6194068,0.6226943,0.5978288,-0.70905864,-0.45322832,-0.23881368,-0.24538863,-0.19565766,1.0310382,0.98323107,1.043529,0.9164182,0.83245826,0.23416783,0.23523898,0.254018,0.28017417,0.28188366,0.53741497,0.49986553,0.6601089,0.73654896,0.95031625,0.48673987,0.49284405,0.53402907,0.5175677,0.48580384,0.5132601,0.50715595,0.4659709,0.48243228,0.51419616,-0.02652027,-0.0143119255,0.06805818,0.035135426,-0.0283923
SH601111,0.12260010696774223,1.0,,2026-05-29,-0.004385969,0.032163743,-0.13636376,0.027777776,0.86363626,0.0,0.0,-0.032163743,-1.0,1.0044053,1.0323055,1.0,1.0192707,0.9807692,0.98974353,0.9782051,1.0141026,1.1884614,1.008205,0.99615383,1.0097436,1.0113674,1.0259615,0.0121490825,0.01673774,0.027264407,0.025917465,0.044035878,-0.0066666566,0.0031390854,-0.0012415658,-0.0007940441,-0.0013764151,0.75278187,0.32242155,0.07257974,0.07274546,0.29797882,0.0051282197,-0.010279694,0.0020513192,0.00014615778,0.014642744,1.0335395,1.0335395,1.083729,1.083729,1.18778,0.98331624,0.9606046,0.9606046,0.9606046,0.9360686,1.0197436,1.0089743,1.0317948,1.0317948,1.0551282,0.99871796,0.98282045,0.9879487,0.9879487,0.9917949,0.4,0.7,0.5,0.43333334,0.31666666,0.33219102,0.540144,0.3199641,0.3199641,0.25398687,0.4,0.7,0.25,0.5,0.016666668,0.8,0.1,0.55,0.7,0.25,-0.4,0.6,-0.3,-0.2,-0.23333333,0.3962068,0.5362996,0.31436574,0.362518,0.37584108,0.7456719,0.51819307,0.3020297,0.35703138,0.31793493,0.6,0.5,0.55,0.5,0.4,0.4,0.5,0.45,0.5,0.6,0.2,0.0,0.1,0.0,-0.2,0.6271185,0.5322583,0.530466,0.48548815,0.41522497,0.37288144,0.46774176,0.46953398,0.5145118,0.58477503,0.2542371,0.064516515,0.06093206,-0.029023686,-0.16955008,0.90083873,0.7635162,0.7369813,0.67747855,0.71758825,0.22692458,0.25013787,0.2675893,0.2520515,0.28346995,1.2105252,1.003871,1.0041965,1.0435859,1.2384945,0.62418187,0.49820077,0.5588153,0.5330216,0.49949,0.37581813,0.5017992,0.44118467,0.46697837,0.50051,0.24836375,-0.0035984626,0.11763065,0.06604324,-0.001019999
SH600018,0.11416136009000545,0.875,,2026-05-29,0.023952013,0.025948077,0.9230747,0.0019960634,0.07692529,0.0,0.0,0.02195595,0.84614944,0.9766083,1.0019494,0.9766083,0.99460924,0.99653983,0.9942331,0.9550174,0.97462523,1.0,0.9886967,0.9920415,0.99071515,0.9803538,0.98667824,0.008090247,0.007831235,0.010292388,0.017611079,0.016995879,0.00069204584,-0.0008178651,0.0005159953,0.001459265,-0.00026359348,0.01829305,0.099980235,0.08796852,0.5321059,0.07336382,0.009919222,0.011638842,0.0043828976,-0.001513097,0.021097764,1.0019494,1.0067369,1.0067369,1.0067369,1.023228,0.9766083,0.9766083,0.954133,0.9472213,0.9472213,0.99261826,0.99723184,0.9970012,0.99653983,1.0,0.98200697,0.98546714,0.98546714,0.9614764,0.9734718,1.0,0.9,0.9,0.93333334,0.80833334,0.9230747,0.77639484,0.87193125,0.8868042,0.6943946,1.0,0.4,0.7,0.8,0.016666668,1.0,1.0,0.05,0.33333334,0.6666667,0.0,-0.6,0.65,0.46666667,-0.65,0.68225425,0.61667883,0.26564822,0.46401682,0.44125324,0.80137706,0.747234,0.59181654,0.26629224,-0.023201294,0.2,0.3,0.4,0.36666667,0.4,0.6,0.6,0.45,0.53333336,0.53333336,-0.4,-0.3,-0.05,-0.16666667,-0.13333334,0.5454543,0.53623146,0.6666667,0.5662649,0.5,0.4545457,0.46376857,0.33333334,0.43373507,0.5,0.090908594,0.07246286,0.33333334,0.13252988,0.0,0.6760195,0.70340484,0.7684103,0.7023749,0.797593,0.18654922,0.15539804,0.20180488,0.24101268,0.37658367,1.3240907,1.0837271,1.0632193,1.0568532,1.321553,0.7307535,0.5202739,0.5850172,0.5507525,0.47442025,0.26924652,0.47972605,0.4149828,0.44924748,0.52557975,0.46150696,0.040547896,0.1700344,0.10150506,-0.05115951
SZ002230,0.0945348161935711,0.875,,2026-05-29,-0.035441022,0.053161494,-0.6666672,0.015908193,0.29924276,0.001812277,0.034090035,-0.04953694,-0.9318199,1.0367433,1.053236,0.99812114,1.0260454,0.9885144,0.98413455,1.0265242,1.0089742,1.1340296,1.0238472,1.0137614,1.0168709,1.0175465,1.0228608,0.017916547,0.01977069,0.02129014,0.018982634,0.043187264,-0.0035100142,0.0014567949,-0.00048322484,-8.7445216e-05,-0.0009607938,0.09595092,0.049769662,0.01803057,0.0016446022,0.15095545,-0.016827228,-0.020316921,-0.012280247,-0.016278535,0.0054826606,1.0645155,1.0645155,1.0645155,1.0645155,1.1442629,0.9897804,0.9764059,0.9764059,0.9764059,0.9469707,1.0323681,1.0261842,1.0347816,1.0331123,1.0547451,1.0130354,0.9977029,0.99724346,0.99954057,0.9855618,0.2,0.3,0.3,0.23333333,0.35,0.13674374,0.2677812,0.2677812,0.2677812,0.26878572,0.6,0.8,0.9,0.93333334,0.016666668,0.2,0.5,0.75,0.8333333,0.33333334,0.4,0.3,0.15,0.1,-0.31666666,0.6616284,0.67003226,0.49059826,0.29923755,0.2533467,0.9299043,0.49961933,0.37940806,0.38994554,0.3926098,0.6,0.6,0.5,0.53333336,0.5,0.4,0.4,0.5,0.46666667,0.5,0.2,0.2,0.0,0.06666667,0.0,0.5523887,0.5408581,0.46397072,0.49061075,0.4292939,0.44761124,0.4591419,0.5360293,0.5093893,0.57070607,0.10477751,0.0817162,-0.07205855,-0.018778533,-0.14141218,1.0765183,0.88692135,0.8254002,0.7190905,0.59480083,0.28473657,0.2903405,0.22648072,0.24076118,0.23667724,0.3236124,0.5674799,0.6827517,0.81440365,0.99243283,0.6525105,0.5582695,0.56546193,0.55405194,0.5126689,0.34748948,0.4417305,0.43453807,0.44594803,0.48733112,0.30502108,0.11653901,0.13092384,0.10810392,0.025337774
SH601988,0.09444500197673726,1.0,,2026-05-29,0.010344783,0.025862047,0.3999986,0.008620722,0.3333349,0.006896542,0.2666665,0.008620602,0.3333302,0.9897611,1.0085324,0.9829352,0.99822974,1.0,0.988111,0.99141353,0.9782035,0.90620875,1.0011889,0.99517834,0.98662484,0.98894763,0.9690335,0.006980701,0.010383157,0.012319398,0.011746368,0.03083557,-0.0031703992,0.0016692679,0.001527099,0.0001348915,0.0013860632,0.5156676,0.23692161,0.5378033,0.0102202995,0.6162571,0.005151882,-0.0026900582,-0.0011323021,0.009096444,-0.009922356,1.0208719,1.0208719,1.0208719,1.0208719,1.0208719,0.9829352,0.96619374,0.9576674,0.9576674,0.90087044,1.0075297,1.001453,0.9989432,0.9989432,0.9936592,0.99722594,0.9896962,0.97397625,0.97886395,0.9375165,0.6,0.75,0.875,0.85,0.875,0.44982317,0.6182776,0.66977215,0.66977215,0.8260698,0.6,0.8,0.9,0.93333334,0.96666664,1.0,0.4,0.3,0.53333336,0.033333335,-0.4,0.4,0.6,0.4,0.93333334,-0.0035533553,0.5186574,0.6436244,0.30543807,-0.057473682,0.27272928,0.6159879,0.47376952,0.5478678,0.45335552,0.6,0.6,0.45,0.43333334,0.48333332,0.4,0.3,0.45,0.46666667,0.41666666,0.2,0.3,0.0,-0.033333335,0.06666667,0.5,0.56617635,0.5314008,0.5507692,0.5969945,0.5,0.43382365,0.46859923,0.4492308,0.40300545,0.0,0.1323527,0.062801555,0.10153844,0.19398908,0.82419914,0.7964978,0.73196787,0.6677175,0.75234413,0.11032997,0.14088145,0.14572796,0.16146113,0.26403284,0.50819826,0.7020524,0.82009596,0.8884835,1.383496,0.5654352,0.5607346,0.5834394,0.5541569,0.51352084,0.43456486,0.4392654,0.41656062,0.4458431,0.48647916,0.13087031,0.121469215,0.16687877,0.10831383,0.027041651
SH601985,0.08051062797256861,0.75,,2026-05-29,0.024943402,0.036281206,0.687502,0.007936429,0.21874769,0.003401373,0.093750276,0.020408345,0.56250465,0.9756636,1.0077432,0.97234505,0.99462706,0.96399635,1.0117011,1.0063006,0.96309626,0.9585958,0.9760576,0.9830783,0.9943294,0.9916591,0.99009895,0.014296995,0.020179328,0.019900998,0.019162346,0.020217847,0.0072907214,-0.0028148238,-0.0017121991,3.9249077e-05,4.1115745e-05,0.650117,0.17836122,0.2590758,0.00032513464,0.001261381,0.0093609765,0.029588435,0.021936502,0.0077717705,0.008688126,1.0077432,1.0240232,1.031355,1.031355,1.0445751,0.96047026,0.95846254,0.95846254,0.9579774,0.9426929,0.9827182,1.00036,1.0127813,1.0063006,1.0073807,0.9677768,0.9663366,0.96849686,0.9692168,0.96849686,1.0,0.8,0.575,0.6166667,0.6333333,0.83620065,0.63357365,0.5698453,0.572689,0.562484,1.0,0.2,0.4,0.6,0.28333333,0.6,0.5,0.75,0.1,0.033333335,0.4,-0.3,-0.35,0.5,0.25,0.8888196,0.32676443,0.35248843,0.43588683,0.50223154,0.5477482,0.29220575,0.33139008,0.36523628,0.4590201,0.6,0.4,0.5,0.53333336,0.51666665,0.2,0.5,0.4,0.4,0.45,0.4,-0.1,0.1,0.13333334,0.06666667,0.91666585,0.45454574,0.48547724,0.56269115,0.5363924,0.08333414,0.54545426,0.51452273,0.43730882,0.46360758,0.8333317,-0.0909085,-0.029045511,0.12538236,0.07278484,0.6273507,0.6571861,0.6821755,0.67439044,0.81226254,0.22812375,0.1853803,0.1427353,0.1422032,0.36307248,1.2597579,0.9615871,0.9665199,0.94137806,1.0349334,0.7619169,0.59670764,0.54905474,0.570701,0.49088988,0.23808315,0.40329233,0.45094523,0.42929897,0.50911015,0.5238337,0.19341534,0.09810954,0.14140207,-0.018220268
SZ002236,0.07773045078757096,1.0,,2026-05-29,-0.039700795,0.04833144,-0.82142794,0.0063291825,0.13095373,0.0023014615,0.047618315,-0.043728516,-0.9047634,1.0413421,1.047933,0.9976034,1.0125936,1.0482445,1.0271147,1.0629165,1.0705494,1.1040006,1.0454215,1.0473019,1.0556375,1.0675132,1.0465709,0.02785566,0.02068398,0.021180488,0.027522268,0.03827119,-0.015458345,-0.0027351973,-0.0022114962,-0.0025013308,0.0004497102,0.7699084,0.16029522,0.38156494,0.6401408,0.04211351,-0.014504828,-0.034993477,-0.034628216,-0.031243881,-0.059837356,1.0964742,1.0964742,1.1069375,1.1374557,1.1374557,0.9976034,0.9976034,0.9976034,0.9976034,0.95962274,1.0635151,1.0635029,1.0738328,1.0855727,1.073016,1.0297269,1.0359713,1.0380406,1.047188,1.0099542,0.2,0.1,0.05,0.033333335,0.2,0.024239799,0.024239799,0.021920035,0.017136717,0.22705154,0.6,0.8,0.1,0.06666667,0.53333336,1.0,1.0,1.0,1.0,0.25,-0.4,-0.2,-0.9,-0.93333334,0.28333333,-0.5647853,-0.45443708,0.08014352,0.47388473,0.6497153,0.2888405,-0.13882633,0.065133326,0.2733561,0.13052055,0.4,0.5,0.5,0.43333334,0.48333332,0.6,0.5,0.5,0.53333336,0.5,-0.2,0.0,0.0,-0.1,-0.016666668,0.21136518,0.42206433,0.4020815,0.4219834,0.44027272,0.78863484,0.5779357,0.5979185,0.57801664,0.5597273,-0.5772696,-0.15587135,-0.19583699,-0.15603325,-0.119454585,0.93809783,0.8832891,0.9571662,1.0132298,0.81982595,0.19183093,0.15495932,0.19508557,0.31351924,0.34144366,0.92332613,0.7125323,0.6961332,0.904265,1.0884268,0.69554895,0.5318335,0.53000224,0.4870719,0.49751073,0.30445108,0.46816647,0.46999776,0.5129281,0.50248927,0.39109784,0.06366707,0.06000449,-0.025856227,-0.0049785418
SZ002594,0.07541027550200721,0.875,,2026-05-29,-0.02750249,0.034074865,-0.80711955,0.006066797,0.17804316,0.0005055794,0.014837311,-0.033063706,-0.97032535,1.0282803,1.0345186,0.9994801,1.0119958,0.9747341,1.001255,1.0551225,1.0794306,1.0063412,0.9977013,0.9886948,1.0157226,1.0312339,1.0420294,0.0050702365,0.012581129,0.03409873,0.036962207,0.039712038,-0.00024110833,0.002194814,-0.0047746263,-0.003637417,-0.00069690053,0.0056533776,0.27897653,0.68623114,0.7505369,0.093928434,0.0027809108,0.0014285771,0.029636318,0.021508649,-0.021470848,1.0345186,1.0345186,1.0983735,1.1018022,1.162628,0.9776604,0.9628813,0.9628813,0.9628813,0.9628813,1.0007728,0.9985204,1.0443358,1.0652288,1.0736971,0.9955215,0.9742387,0.98854613,0.997556,0.9996301,0.8,0.9,0.45,0.3,0.21666667,0.39289978,0.5181472,0.27395418,0.26719287,0.18582863,1.0,1.0,0.05,0.06666667,0.25,0.8,0.5,0.75,0.8333333,0.9166667,0.2,0.5,-0.7,-0.76666665,-0.6666667,0.34075195,0.24163766,0.7172476,0.5672194,0.5320246,0.3665548,0.075958274,0.45002922,0.5000379,0.63187236,0.8,0.7,0.5,0.43333334,0.43333334,0.2,0.3,0.5,0.56666666,0.56666666,0.6,0.4,0.0,-0.13333334,-0.13333334,0.73861504,0.49471036,0.39616767,0.40161988,0.4966876,0.26138493,0.5052896,0.6038323,0.59838015,0.5033124,0.4772301,-0.010579269,-0.20766465,-0.19676024,-0.0066248206,0.684737,0.62413657,0.74723864,0.7437599,0.9483599,0.18502796,0.15338646,0.29215544,0.25543332,0.41789472,0.77299166,0.82705337,1.3295707,1.1922082,1.313818,0.8243921,0.5732784,0.5402413,0.5068802,0.4675436,0.1756079,0.4267216,0.4597587,0.49311978,0.5324564,0.64878416,0.1465568,0.08048259,0.013760448,-0.06491278
SH600795,0.0745405643169631,0.75,,2026-05-29,0.023856902,0.033797223,0.7058835,0.0039761276,0.11764659,0.0059641916,0.17646988,0.025844965,0.76470685,0.976699,1.0038835,0.9708738,0.9948664,0.9514588,0.9553421,0.9553421,0.9359256,0.96505034,0.97204024,0.9679628,0.95990497,0.9563776,0.9590637,0.016046522,0.018963538,0.019439718,0.017334664,0.021372756,0.007960757,0.0015180176,0.0019022322,0.0011049474,-0.00025405674,0.6153,0.05873897,0.33513144,0.31488654,0.043096323,0.01203822,0.025206119,0.022023836,0.027600633,0.048430994,1.0038835,1.0038835,1.0038835,1.0038835,1.0252434,0.94563293,0.9378665,0.91650885,0.91650885,0.91262573,0.97670025,0.97670025,0.96932197,0.963497,0.9755352,0.96272033,0.9530121,0.9491288,0.9467988,0.9398089,1.0,0.9,0.95,0.96666664,0.96666664,0.93333143,0.9411745,0.95555365,0.95555365,0.77584904,1.0,1.0,1.0,1.0,0.15,0.6,0.5,0.1,0.4,0.41666666,0.4,0.5,0.9,0.6,-0.26666668,0.7868964,0.75986105,0.65951973,0.67592514,0.71752816,-0.23904742,0.70088273,0.559409,0.5830655,0.49177173,0.8,0.5,0.5,0.5,0.45,0.2,0.4,0.45,0.46666667,0.51666665,0.6,0.1,0.05,0.033333335,-0.06666667,0.9310347,0.6385543,0.5782313,0.5873016,0.5245897,0.068965316,0.36144575,0.42176872,0.41269842,0.47541028,0.86206937,0.2771085,0.15646257,0.1746032,0.04917946,0.5857932,0.5486333,0.49599037,0.4266626,0.4196828,0.29975235,0.25452322,0.19475457,0.18968745,0.16955651,1.417708,1.3315457,1.3106023,1.4615309,1.3028886,0.93743986,0.6572787,0.61815304,0.61757976,0.5316522,0.06256013,0.34272128,0.381847,0.38242027,0.46834776,0.8748797,0.3145574,0.23630603,0.23515947,0.063304454
