instrument,avg_score,pos_ratio,real_label,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SZ300502,0.3039810091567827,1.0,,2026-05-29,-0.016086336,0.04593314,-0.35021198,0.022270206,0.48483962,0.007576597,0.16494837,-0.030779947,-0.67010325,1.0163493,1.0389837,0.99229956,1.0124935,0.8588999,0.8635431,0.7579591,0.7360751,0.53931683,0.9848682,0.9076312,0.8582039,0.8376278,0.7309889,0.031598628,0.085681885,0.08649831,0.08212308,0.12980889,0.01602654,0.0254713,0.012650877,0.006556234,0.00696477,0.6431068,0.81009436,0.74867624,0.49394676,0.87802035,-0.016921306,-0.022252077,0.021612791,0.06730677,0.063550346,1.0389837,1.0389837,1.0389837,1.0389837,1.0389837,0.84225374,0.793135,0.72616625,0.6936376,0.5190032,1.0033661,0.99269605,0.9430367,0.883242,0.8408243,0.97360367,0.8279088,0.7943014,0.760782,0.6207089,0.8,0.9,0.95,0.96666664,0.98333335,0.80184174,0.84143233,0.8753789,0.88711715,0.9250286,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.033333335,0.033333335,0.8,0.8,0.8,0.96666664,0.96666664,-0.72140735,0.34011158,0.0891513,-0.113829985,-0.062278643,0.72543305,0.39167944,0.2290472,-0.097362995,0.27035734,0.6,0.5,0.5,0.46666667,0.53333336,0.4,0.5,0.5,0.53333336,0.46666667,0.2,0.0,0.0,-0.06666667,0.06666667,0.873446,0.69340366,0.70631546,0.63855255,0.641612,0.12655401,0.30659634,0.2936845,0.36144742,0.35838804,0.746892,0.38680732,0.41263095,0.27710515,0.28322396,1.1810598,1.0989237,1.1657133,1.2282574,1.2317489,0.21402289,0.1859151,0.26569545,0.37083888,0.35699573,0.92361677,0.79884136,0.8744847,1.176533,1.0983819,0.33470345,0.47180605,0.49154252,0.4907816,0.48155877,0.66529655,0.52819395,0.5084575,0.5092184,0.51844126,-0.3305931,-0.05638789,-0.016914962,-0.018436799,-0.036882468
SH603986,0.20915138593179866,1.0,,2026-05-29,-0.05206439,0.06310643,-0.8250251,0.0067794737,0.1074292,0.0042625703,0.067545734,-0.054581292,-0.8649085,1.054924,1.0620759,0.9955033,1.02494,1.0022488,0.8025411,0.6574887,0.5987106,0.6268049,1.072893,0.996201,0.8682869,0.79081506,0.6868307,0.053326532,0.09728229,0.15077691,0.16589536,0.15902542,-0.029743025,0.023906544,0.023876531,0.017649557,0.0070733596,0.7777206,0.55357623,0.8776894,0.87720454,0.603418,-0.013406991,-0.10378043,-0.095113926,-0.046733655,0.104505226,1.1837399,1.1837399,1.1837399,1.1837399,1.1837399,0.98569906,0.8125472,0.63503766,0.5742912,0.50644594,1.1073111,1.1012895,1.0086467,0.9612245,0.7755227,1.027391,0.91178596,0.7461934,0.65112555,0.5801519,0.2,0.5,0.75,0.8333333,0.9166667,0.07221212,0.5050013,0.66513735,0.6985145,0.7287147,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.2,0.05,0.06666667,0.35,0.4,0.6,0.85,0.8666667,0.6166667,0.6890359,0.11477049,0.67014587,0.79650307,0.66268617,0.079475254,0.3189829,0.25607738,0.26007804,0.12852381,0.4,0.6,0.65,0.6666667,0.5833333,0.6,0.4,0.35,0.33333334,0.41666666,-0.2,0.2,0.3,0.33333334,0.16666667,0.495526,0.69468325,0.71535754,0.7113563,0.6211955,0.50447404,0.30531672,0.28464246,0.28864372,0.3788045,-0.008948029,0.38936657,0.43071505,0.42271256,0.24239096,1.1062182,1.1132188,0.995651,0.8899212,0.74365526,0.07623385,0.07787023,0.16696984,0.20812865,0.25929868,0.67171264,0.6304411,0.7309287,0.86430603,0.93655485,0.32157513,0.43418068,0.5540082,0.5191376,0.53539824,0.6784249,0.5658193,0.4459918,0.48086238,0.46460176,-0.35684976,-0.13163865,0.108016394,0.03827522,0.07079652
SH600346,0.20906043077166667,1.0,,2026-05-29,-0.0029002214,0.03886306,-0.07462669,0.031902526,0.82089597,0.00406031,0.10447737,-0.030742439,-0.79104525,1.0029087,1.034904,0.9959279,1.0113887,1.0779629,1.2269022,1.2542398,1.3257732,1.5416392,1.0382929,1.08867,1.192748,1.2501476,1.2784328,0.04048844,0.06744137,0.11802859,0.13235733,0.112034805,-0.023328101,-0.021653788,-0.018798666,-0.013749438,-0.0035483781,0.8299209,0.9449883,0.88786656,0.83632606,0.30595228,0.008363302,0.008771983,-0.014160585,-0.050780784,-0.17375565,1.1221721,1.2257123,1.3513912,1.4607579,1.5707048,0.99479175,0.99479175,0.99479175,0.99479175,0.99479175,1.0770314,1.1579,1.3057764,1.3663849,1.3583759,1.002349,1.0220118,1.0772642,1.0993874,1.2020048,0.2,0.1,0.05,0.033333335,0.016666668,0.040887497,0.02255437,0.01460537,0.011177351,0.009043494,0.2,0.1,0.45,0.16666667,0.016666668,0.8,0.9,0.95,0.96666664,0.98333335,-0.6,-0.8,-0.5,-0.8,-0.96666664,-0.9029278,-0.6971391,-0.08021954,-0.14521044,0.086354904,-0.590984,-0.48186117,-0.38228852,0.11380096,-0.052484505,0.2,0.1,0.25,0.33333334,0.4,0.8,0.9,0.75,0.6666667,0.6,-0.6,-0.8,-0.5,-0.33333334,-0.2,0.123655416,0.05072151,0.2298839,0.3301125,0.37589607,0.87634456,0.9492785,0.7701161,0.66988754,0.6241039,-0.7526892,-0.898557,-0.54023224,-0.33977506,-0.24820785,0.84211063,0.770117,0.78779215,0.7827731,0.8380422,0.17314978,0.18446885,0.17436516,0.24296041,0.31908205,1.2494398,0.9103193,0.9321498,0.78408325,1.1593748,0.52788216,0.57420546,0.42020714,0.51597184,0.4845728,0.47211787,0.42579454,0.57979286,0.4840282,0.51542723,0.055764258,0.14841093,-0.15958571,0.03194365,-0.030854406
SH600547,0.20038120213672012,1.0,,2026-05-29,-0.02630691,0.034738608,-0.75728166,0.008431697,0.24271834,0.0,0.0,-0.034738608,-1.0,1.0270177,1.0356772,1.0,1.0118334,1.0408787,1.1049601,1.2050574,1.3647437,1.8022137,1.0339441,1.0441993,1.1254095,1.1794968,1.3260902,0.036290225,0.030473182,0.09151327,0.111463405,0.18923442,-0.016902598,-0.006697386,-0.014242747,-0.012062467,-0.010259244,0.542335,0.44277847,0.8477883,0.90763104,0.89645857,-0.00013891986,-0.014061073,0.009896624,-0.004591053,-0.02344258,1.0928252,1.0928252,1.2798784,1.3952273,1.8531313,0.98753124,0.98753124,0.98753124,0.98753124,0.98753124,1.0509162,1.0714297,1.2256356,1.2694876,1.4803618,1.0024947,1.020853,1.0398382,1.0520246,1.1853837,0.2,0.1,0.05,0.033333335,0.016666668,0.11841836,0.11841836,0.04265042,0.030583395,0.014404723,0.4,0.7,0.25,0.033333335,0.016666668,0.8,0.9,0.95,0.96666664,0.98333335,-0.4,-0.2,-0.7,-0.93333334,-0.96666664,0.79358166,0.39596048,0.4962528,-0.017588316,0.019080814,0.9101048,0.7458134,0.24138579,0.08535704,0.1073247,0.4,0.3,0.35,0.26666668,0.3,0.6,0.7,0.65,0.7,0.68333334,-0.2,-0.4,-0.3,-0.43333334,-0.38333333,0.35246265,0.27553633,0.3039756,0.24503052,0.2891459,0.64753735,0.7244637,0.69602436,0.7549695,0.7108541,-0.29507473,-0.44892734,-0.39204878,-0.50993896,-0.42170823,1.1618575,1.0605533,1.1950082,1.1149635,1.1181655,0.27776173,0.23031737,0.3122479,0.30035812,0.34323975,0.97256273,0.93762916,0.78484714,0.873103,0.9376468,0.53772694,0.3973296,0.5256341,0.5197767,0.43745318,0.4622731,0.60267043,0.47436586,0.4802233,0.56254685,0.07545383,-0.20534082,0.05126827,0.039553434,-0.12509367
SH600588,0.1978313808363431,1.0,,2026-05-29,-0.031746075,0.073762834,-0.43038034,0.02240897,0.30379754,0.019607794,0.2658221,-0.03454725,-0.46835577,1.032787,1.0559306,0.9797493,1.010097,1.0482223,1.1099371,1.1301931,1.1851617,1.322084,1.0189034,1.0544884,1.1042956,1.1294163,1.1667037,0.025012137,0.049232982,0.064180955,0.06444765,0.07865625,-0.012728464,-0.015107915,-0.00954535,-0.0063278475,-0.003512292,0.64742637,0.8631937,0.7741754,0.7471358,0.6081554,0.006553506,0.013497239,-0.013614804,-0.037662603,-0.0630911,1.0617188,1.1379049,1.2420511,1.2420511,1.3548702,0.9652929,0.9652929,0.9652929,0.9652929,0.9652929,1.0364506,1.1055038,1.1498572,1.1921006,1.2405019,0.9986507,1.0115789,1.0434,1.0536193,1.1209239,0.4,0.2,0.1,0.06666667,0.033333335,0.3599359,0.20107028,0.12540603,0.12540603,0.089089245,0.2,0.2,0.25,0.5,0.1,0.8,0.9,0.95,0.96666664,0.98333335,-0.6,-0.7,-0.7,-0.46666667,-0.8833333,-0.5315892,-0.2967982,0.341626,-0.059586078,0.03098717,0.20301865,-0.50895226,-0.20919262,-0.048044145,0.08865137,0.4,0.5,0.5,0.5,0.51666665,0.6,0.5,0.5,0.5,0.48333332,-0.2,0.0,0.0,0.0,0.033333335,0.26850623,0.2500001,0.34830555,0.34999862,0.37406293,0.7314938,0.74999994,0.6516944,0.6500014,0.62593704,-0.46298754,-0.49999982,-0.30338886,-0.30000278,-0.25187412,0.93718016,0.99295336,1.1701179,1.05879,0.94744664,0.14226402,0.237391,0.39559585,0.37929115,0.33903193,0.5472243,1.012616,0.8122049,0.8353125,0.9688971,0.48321632,0.41709384,0.51067346,0.51239806,0.4802241,0.5167837,0.5829062,0.48932654,0.48760197,0.51977587,-0.033567395,-0.16581234,0.021346925,0.024796074,-0.039551783
SZ002371,0.18392093783857882,1.0,,2026-05-29,-0.040007886,0.053679135,-0.74531543,0.004389405,0.08177115,0.009281843,0.17291342,-0.03511545,-0.65417314,1.0416752,1.0462476,0.99033135,1.0115985,1.0621233,0.9398753,0.82113796,0.7646028,0.7395164,1.0516703,1.0347749,0.96017855,0.8940959,0.80918664,0.03945556,0.04552642,0.08713245,0.11978521,0.120879926,-0.023479223,0.0058407113,0.013400877,0.013044316,0.0059042578,0.88530123,0.15087454,0.8278939,0.9190475,0.72764915,-0.0047119046,-0.061058138,-0.0874869,-0.08323851,0.016637785,1.1415837,1.1456329,1.1456329,1.1456329,1.1456329,0.99033135,0.92320526,0.79730654,0.70649475,0.6703771,1.072979,1.0625201,1.0475136,1.0399227,0.92255527,1.0316259,0.99677056,0.87443787,0.7541247,0.71795404,0.2,0.3,0.65,0.76666665,0.8833333,0.063924074,0.34525716,0.58190674,0.66836655,0.6935695,0.2,0.4,0.7,0.8,0.9,1.0,0.2,0.05,0.13333334,0.41666666,-0.8,0.2,0.65,0.6666667,0.48333332,0.6163763,0.272362,0.5481603,0.43380713,0.7146741,-0.06940224,0.05152025,0.5155876,0.45172095,0.48501655,0.4,0.7,0.65,0.56666666,0.51666665,0.6,0.3,0.35,0.43333334,0.48333332,-0.2,0.4,0.3,0.13333334,0.033333335,0.315369,0.6034904,0.6719694,0.6689536,0.61119777,0.684631,0.3965096,0.32803056,0.3310464,0.38880223,-0.36926198,0.20698082,0.3439389,0.3379072,0.22239555,1.0191187,1.1294328,1.0156035,0.9740222,0.7274477,0.22655824,0.24357165,0.29527953,0.3111049,0.3425274,0.6244016,0.6726717,0.8112232,1.0699317,1.2559291,0.30634835,0.37437057,0.5055539,0.5292325,0.5171408,0.6936516,0.6256294,0.49444607,0.47076753,0.4828592,-0.3873033,-0.25125888,0.0111078555,0.058464956,0.034281604
SZ002028,0.18279605103786772,1.0,,2026-05-29,-0.028124994,0.03634614,-0.7738096,0.0026922936,0.07407371,0.0055288556,0.15211672,-0.025288431,-0.69576657,1.0289389,1.0317091,0.99431115,1.0115963,0.97521454,0.93989426,0.9658655,1.0190934,1.1008148,0.9916685,0.9849854,0.98646915,1.011134,1.0304571,0.02190104,0.022706471,0.025040884,0.047171064,0.050293602,0.0041456157,0.0033053218,8.252328e-05,-0.0034024732,-0.0019018034,0.08957539,0.19424044,0.00038012085,0.40321788,0.43611962,4.027065e-05,0.00014063812,0.012746893,0.03820189,0.025646063,1.0317091,1.0368524,1.0445706,1.1490461,1.1828834,0.9562681,0.92555034,0.92555034,0.92555034,0.92555034,1.0075088,1.0075088,1.0139986,1.0596876,1.071263,0.9748979,0.96369934,0.9646189,0.9694664,0.98306054,0.6,0.7,0.65,0.46666667,0.3,0.57968354,0.66889757,0.6255213,0.33311442,0.2893125,1.0,0.4,0.15,0.23333333,0.06666667,0.4,0.1,0.55,0.7,0.85,0.6,0.3,-0.4,-0.46666667,-0.78333336,-0.1577769,0.52317107,0.17131278,0.0031434854,-0.13907538,0.12027814,0.542902,0.19951871,0.002934106,-0.11715771,0.6,0.6,0.55,0.53333336,0.46666667,0.4,0.4,0.45,0.46666667,0.53333336,0.2,0.2,0.1,0.06666667,-0.06666667,0.58629465,0.6157375,0.5324257,0.48797154,0.46642113,0.41370538,0.3842625,0.4675743,0.51202846,0.5335789,0.17258926,0.23147497,0.0648514,-0.02405692,-0.06715774,0.9503661,0.9239859,0.9479552,0.9992295,0.89544123,0.07672128,0.2466747,0.22104841,0.30499804,0.27660683,0.4422252,0.81852525,0.90024453,1.0405445,1.0023026,1.0,0.43379024,0.4494436,0.50868994,0.50597155,0.0,0.56620973,0.55055636,0.49131003,0.49402842,1.0,-0.13241953,-0.10111276,0.01737991,0.01194314
SZ300832,0.17363638560612119,1.0,,2026-05-29,-0.005531996,0.045531847,-0.12149729,0.039574414,0.869159,0.00042543787,0.009343742,-0.04468097,-0.9813125,1.0055628,1.0453573,0.9995722,1.0220218,0.99756646,1.0668222,1.0371122,0.9717096,1.0542487,1.0015615,1.0147536,1.0151745,0.99952006,1.0225158,0.013114388,0.0210257,0.024224313,0.034022696,0.051024113,0.0045832447,-0.00440319,0.0001899135,0.0023844957,-0.001570692,0.30534443,0.40201795,0.00215118,0.38067764,0.28902206,-0.010728069,0.005060719,-0.016978627,-0.03409528,0.023819653,1.0453573,1.0627859,1.0728707,1.0728707,1.1382649,0.958315,0.958315,0.958315,0.9291683,0.9145625,1.0115393,1.0298316,1.033259,1.0301563,1.0686069,0.99306434,0.99710006,0.9940175,0.9711418,0.9750761,0.6,0.4,0.35,0.53333336,0.38333333,0.47890484,0.39901072,0.36388412,0.49290574,0.38192478,1.0,0.3,0.5,0.6666667,0.06666667,0.2,0.6,0.8,0.2,0.5,0.8,-0.3,-0.3,0.46666667,-0.43333334,-0.36108118,0.15702745,0.48093852,0.64096665,-0.11579746,-0.080500215,0.043922722,0.4036381,0.5595254,0.45892483,0.4,0.4,0.5,0.5,0.46666667,0.6,0.6,0.5,0.5,0.53333336,-0.2,-0.2,0.0,0.0,-0.06666667,0.5185753,0.32667014,0.454613,0.52352047,0.4769058,0.4814247,0.67332983,0.54538697,0.47647953,0.52309424,0.0371506,-0.34665972,-0.09077399,0.047040954,-0.046188425,0.9092062,0.9639772,1.009357,0.96090394,0.77436286,0.18178633,0.15818027,0.23280159,0.26517794,0.32545188,0.53688127,0.69432026,0.9413033,1.0483074,1.1244552,0.5201483,0.38041362,0.46186632,0.46504292,0.5083042,0.47985175,0.61958635,0.5381337,0.53495705,0.49169585,0.040296517,-0.23917276,-0.07626735,-0.06991416,0.0166083
SH601012,0.16235196378539357,1.0,,2026-05-29,-0.030704774,0.033496123,-0.9166665,0.0,0.0,0.002791349,0.0833335,-0.027913425,-0.833333,1.0316774,1.0316774,0.9971202,1.0101603,1.0828103,1.1231022,1.220292,1.2635037,1.3045256,1.0374452,1.0627117,1.1233649,1.1667895,1.2347159,0.025615456,0.033259537,0.06829218,0.08385859,0.097312145,-0.015624087,-0.010117454,-0.010799297,-0.009105665,-0.0049436083,0.93009037,0.8482454,0.8752197,0.91375536,0.7871434,-0.006197067,-0.017183129,-0.020771632,-0.034757387,-0.08887947,1.0885475,1.1267077,1.2267792,1.2814925,1.411107,0.9971202,0.9971202,0.9971202,0.9971202,0.9971202,1.0547299,1.0914379,1.1914964,1.2526934,1.3333211,1.026511,1.0336934,1.062051,1.080073,1.1769781,0.2,0.1,0.05,0.033333335,0.016666668,0.031497974,0.022222612,0.012539338,0.010126768,0.0069561945,0.6,0.3,0.45,0.13333334,0.23333333,1.0,1.0,1.0,1.0,1.0,-0.4,-0.7,-0.55,-0.8666667,-0.76666665,-0.5955744,-0.45598295,0.3329447,-0.37567073,0.41609776,-0.8478425,-0.39646918,-0.38079888,-0.2939598,0.1530096,0.0,0.3,0.35,0.3,0.4,1.0,0.7,0.6,0.6666667,0.5833333,-1.0,-0.4,-0.25,-0.36666667,-0.18333334,0.0,0.17498569,0.19397703,0.20854208,0.35775664,1.0,0.8250143,0.806023,0.79145795,0.6422434,-1.0,-0.6500286,-0.61204594,-0.58291584,-0.28448674,0.90085244,0.86655617,0.9931515,0.875052,1.0882257,0.1775769,0.1497164,0.24489391,0.26746923,0.47791305,0.78055316,0.74607795,0.96061224,1.1309099,0.9352156,0.6526998,0.38807145,0.5369761,0.51353115,0.49961963,0.3473002,0.6119285,0.4630239,0.48646885,0.50038034,0.30539963,-0.22385707,0.07395219,0.02706227,-0.00076070434
SH688012,0.15660418955221111,0.875,,2026-05-29,-0.02715776,0.06398901,-0.42441285,0.0019281484,0.030132491,0.034903105,0.5454547,0.0058171987,0.09090933,1.0279158,1.0298978,0.96412253,0.99603397,1.0579039,0.9752257,0.8160966,0.73102164,0.7865287,1.0366642,1.048628,0.96041596,0.8841752,0.7976062,0.035325315,0.03956651,0.09951052,0.13786773,0.13165228,-0.020995444,-0.0045865546,0.0141714895,0.0147077525,0.005967921,0.8831166,0.123176865,0.70984095,0.88200104,0.6267425,0.005326682,-0.027988514,-0.095045134,-0.09743763,0.026340127,1.1083219,1.2014598,1.2014598,1.2014598,1.2014598,0.96412253,0.96412253,0.78740615,0.6845751,0.658543,1.0539927,1.082826,1.0606949,1.0289228,0.8828036,1.0166118,1.0166118,0.8640997,0.72153306,0.7050915,0.2,0.2,0.6,0.73333335,0.8666667,0.24880454,0.1511666,0.51344526,0.61024237,0.6289307,0.2,0.4,0.7,0.8,0.9,1.0,1.0,0.05,0.13333334,0.4,-0.8,-0.6,0.65,0.6666667,0.5,0.98353505,0.70745724,0.77530205,0.8441429,0.8555769,0.9421787,0.3644007,0.6984115,0.6700755,0.5528228,0.2,0.4,0.55,0.5,0.46666667,0.8,0.6,0.45,0.5,0.53333336,-0.6,-0.2,0.1,0.0,-0.06666667,0.27494305,0.54065585,0.64738625,0.6677846,0.5822204,0.72505695,0.45934418,0.35261375,0.33221546,0.4177796,-0.45011386,0.081311665,0.2947725,0.33556908,0.1644408,1.2392612,1.3795376,1.2048242,1.0522599,0.7459983,0.32566392,0.2849046,0.35138947,0.38716975,0.41934094,0.7537891,0.9109874,1.1612444,1.2531682,1.4867805,0.29244402,0.32045966,0.4951205,0.5242936,0.5211939,0.707556,0.67954034,0.5048795,0.47570643,0.47880608,-0.415112,-0.35908067,-0.009759001,0.048587162,0.042387813
